groceryCategory;GroceryList;groceryListItem;#;Units
Fridge;Beef Lasagne;Beef Lasagne;1000;g
Fridge;Melanzane Parmigiana;Melanzane Parmigiana;820;g
Freezer;Sweet Potato Fries;Frozen Sweet Potato Chips;250;g
Fresh Produce;Roasted Butternut & Spinach Phyllo Parcels;Roasted Butternut & Spinach Phyllo Parcel;1;#
Fresh Produce;Banana Pancakes;Banana;2;#
Fridge;Banana Pancakes;Eggs;2;#
Pantry;Banana Pancakes;Oats;125;g
Pantry;Banana Pancakes;Vanilla Essence;5;ml
Fridge;Banana Pancakes;Butter;20;g
Freezer;Berry Smoothie;Frozen Summer Berries;;
Fresh Produce;Berry Smoothie;Banana;2;#
Fridge;Berry Smoothie;Peanut Butter;120;ml
Pantry;Berry Smoothie;Vanilla Essence;5;ml
Bread & Bakery;Berry Smoothie;Oats;500;g
Fridge;Berry Smoothie;Milk;500;ml
Fridge;Berry Smoothie;Yoghurt;;
Bread & Bakery;Weetbix & Fruit;Weetbix;900;#
Fresh Produce;Weetbix & Fruit;Apple;1;#
Fridge;Pre-Made Meals: Beef Lasagne;Pre-Made Meals: Beef Lasagne;;
Fridge;Pre-Made Meals: Chicken Lasagne;Pre-Made Meals: Chicken Lasagne;;
Pantry;Pre-Made Meals: Bobotie;Pre-Made Meals: Bobotie;;
Pantry;Pre-Made Meals: Spaghetti Bolognaise;Pre-Made Meals: Spaghetti Bolognaise;;
Pantry;Pre-Made Meals: Mash and Stew;Pre-Made Meals: Mash And Stew;;
Pantry;Peanut Butter Bars;"Eggs (); Peanut Butter (); Bananas (); Baking Powder";2;
Fresh Produce;Pumpkin & Ginger Soup;Fresh Pumpkin & Ginger Soup;;
Pantry;Pumpkin & Ginger Soup;;20;
Pantry;Pumpkin & Ginger Soup;Feta;100;g
Drinks;Aperol Spritz Lollies;Prosecco;500;ml
Drinks;Aperol Spritz Lollies;Soda Water;500;ml
Drinks;Aperol Spritz Lollies;Aperol;330;ml
Fridge;Egg Mayo Sandwiches;Eggs;2;#
Pantry;Egg Mayo Sandwiches;Mayonnaise;30;g
Bread & Bakery;Egg Mayo Sandwiches;Bread;2;slices
Fridge;Chicken Strips;Chicken Strips;150;g
Fresh Produce;Broccoli;Broccoli;100;g
Bread & Bakery;Pasta (Orzo);Pasta Rice;80;g
Bread & Bakery;Pasta (Shells);Pasta Shells;80;g
Fridge;Cheese;Cheese;;
Fresh Produce;Avo;Avocado;1;#
Bread & Bakery;Cheese & Spinach Quesadilla Triangles;Wholewheat Wrap;1;
Fridge;Cheese & Spinach Quesadilla Triangles;Cheese (¼ Cup);;
Fresh Produce;Cheese & Spinach Quesadilla Triangles;Finely Chopped Spinach (Small Handful);;
Fresh Produce;Apple “Cookies” with Nut Butter;Apple;1;#
Fridge;Apple “Cookies” with Nut Butter;Peanut/Sunflower Butter;2;tbsp
Bread & Bakery;Apple “Cookies” with Nut Butter;Oats/Raisins (Sprinkle);;
Bread & Bakery;Slow Cooked Aubergine and Coconut Curry;Rice;200;g
Herbs & Spices;Slow Cooked Aubergine and Coconut Curry;Slow Cooked Aubergine And Coconut Curry;1;#
Fridge;Slow Cooked Aubergine and Coconut Curry;Paratas;3;#
Fridge;Slow Cooked Aubergine and Coconut Curry;Butter;15;g
Pantry;Mexican Street Corn;Sweetcorn;350;g
Fridge;Mexican Street Corn;Butter;15;g
Fresh Produce;Mexican Street Corn;Limes;2;#
Herbs & Spices;Mexican Street Corn;Chipotle Spice;5;g
Fridge;Sriracha Egg Mayo Rolls;Eggs;2;#
Pantry;Sriracha Egg Mayo Rolls;Sriracha Mayo;75;#
Bread & Bakery;Sriracha Egg Mayo Rolls;Brown Seeded Rolls;8;#
Fridge;Sriracha Egg Mayo Rolls;Butter;15;g
Drinks;Chocolate Chickpea & Coconut Bark;Chocolate (Lindt %;78;
Pantry;Chocolate Chickpea & Coconut Bark;Coconut Oil;5;ml
Fresh Produce;Chocolate Chickpea & Coconut Bark;Chickpeas;400;g
Pantry;Chocolate Chickpea & Coconut Bark;Coconut Flakes;20;g
Fridge;Eggs (2);Eggs;2;#
Bread & Bakery;Bread (2);Bread;2;
Fridge;Cheese;Cheese;;
Fresh Produce;Avocado;Avocado;2;#
Fridge;Eggs (2);Eggs;2;#
Bread & Bakery;Bread (2);Bread;2;
Fridge;Cheese;Cheese;;
Fridge;Bacon;Bacon;;
Fridge;Chicken Mayo Sandwiches;Chicken (Cooked;;
Pantry;Chicken Mayo Sandwiches;Shredded);100;g
Pantry;Chicken Mayo Sandwiches;Mayonnaise;30;g
Bread & Bakery;Chicken Mayo Sandwiches;Bread;2;slices
Fresh Produce;Meatballs;Meatballs;150;g
Fresh Produce;Tomato Pasta Sauce;Tomato Pasta Sauce;;
Herbs & Spices;Red Pepper Pesto Pasta Sauce;Red Pepper Pesto Pasta Sauce;;
Fresh Produce;Chipolatas;Chipolatas;150;g
Freezer;Fish Fingers;Fish Fingers;;
Fridge;Yoghurt & Berry Pops;Natural Yoghurt;1;cup
Pantry;Yoghurt & Berry Pops;Berries;1;cup
Pantry;Yoghurt & Berry Pops;Honey (Optional;;
Pantry;Yoghurt & Berry Pops;;1;tsp
Bread & Bakery;Breakfast Croissants;Croissants;6;#
Fridge;Breakfast Croissants;Eggs;2;#
Fridge;Breakfast Croissants;Halloumi;320;g
Fresh Produce;Breakfast Croissants;Avocado;2;#
Fridge;Breakfast Croissants;Butter;15;g
Fresh Produce;Simple Baked Fish;Hake;250;g
Fridge;Simple Baked Fish;Butter;15;g
Pantry;Simple Baked Fish;Olive Oil;45;ml
Herbs & Spices;Simple Baked Fish;Salt;15;ml
Herbs & Spices;Simple Baked Fish;Pepper;7,5;ml
Fresh Produce;Roasted Cauliflower & Peas (Gio’s);Cauliflower;300;g
Freezer;Roasted Cauliflower & Peas (Gio’s);Peas (Frozen);250;ml
Fresh Produce;Roasted Cauliflower & Peas (Gio’s);White Onion;1;#
Pantry;Roasted Cauliflower & Peas (Gio’s);Olive Oil;45;ml
Herbs & Spices;Roasted Cauliflower & Peas (Gio’s);Salt;15;ml
Fridge;Mango Granita;Double Cream Ayrshire Coconut Yoghurt;250;g
Fresh Produce;Mango Granita;Mango;1;#
Herbs & Spices;Mango Granita;Mint;10;g
Drinks;Mango Granita;Chocolate (Lindt %;78;
Fresh Produce;Mango Granita;Limes;2;#
Fridge;Hot chocolate;Milk;500;ml
Pantry;Hot chocolate;Cacao Powder;30;g
Drinks;Hot chocolate;Chocolate (Lindt %;85;
Pantry;Hot chocolate;Sugar (Coconut);10;ml
Pantry;Hot chocolate;Vanilla Paste;1,25;ml
Pantry;Peanut Butter Freezer Fudge;Coconut Oil;5;ml
Pantry;Peanut Butter Freezer Fudge;Honey;30;ml
Fridge;Peanut Butter Freezer Fudge;Peanut Butter;120;ml
Pantry;Peanut Butter Freezer Fudge;Vanilla Paste;1,25;ml
Herbs & Spices;Peanut Butter Freezer Fudge;Salt;15;ml
Drinks;Home Restock;Tea Lights;9;#
Cleaning & Household;Home Restock;Stick Candles;3;#
Cleaning & Household;Home Restock;Incense;5;#
Cleaning & Household;Home Restock;Plant Food;1;#
Cleaning & Household;Home Restock;Hand Wash;1;#
Fresh Produce;Apple Oats;Apple;1;#
Bread & Bakery;Apple Oats;Oats;500;g
Fridge;Apple Oats;Milk;500;ml
Fridge;Apple Oats;Yoghurt;;
Fridge;Apple Oats;Peanut Butter;120;ml
Fridge;Chicken Strips, Broccoli, Mash;Chicken Strips;150;g
Fresh Produce;Chicken Strips, Broccoli, Mash;Broccoli;100;g
Pantry;Chicken Strips, Broccoli, Mash;Potato;2;
Fridge;Chicken Strips, Broccoli, Mash;Butter;10;g
Fridge;Chicken Strips, Broccoli, Mash;Milk;50;ml
Bread & Bakery;Quesadilla Triangles;Tortilla Wraps;2;
Fridge;Quesadilla Triangles;Cheese (Grated);50;g
Fridge;Quesadilla Triangles;Chicken (Cooked;;
Pantry;Quesadilla Triangles;Shredded);50;g
Fresh Produce;Quesadilla Triangles;Avocado;1;#
Freezer;Berry Jellies;Mixed Berries (Fresh Or Frozen;;
Pantry;Berry Jellies;Gelatin ( Or Agar Agar;2;tbsp
Drinks;Berry Jellies;Water/Juice;1;cup
Pantry;Berry Jellies;Honey (Optional);30;ml
Fresh Produce;Oat & Banana Balls;Banana;1;#
Bread & Bakery;Oat & Banana Balls;Oats;1;cup
Fridge;Oat & Banana Balls;Peanut Butter;2;tbsp
Pantry;Oat & Banana Balls;Raisins/Coconut (Optional);;
Pantry;Parmesean & Almond Salad;Crunchita® Lettuce;300;g
Fridge;Parmesean & Almond Salad;Parmesan;20;g
Pantry;Parmesean & Almond Salad;Almonds (Slivered);100;g
Herbs & Spices;Parmesean & Almond Salad;Salt;15;ml
Herbs & Spices;Parmesean & Almond Salad;Pepper;7,5;ml
Pantry;Parmesean & Almond Salad;Olive Oil;45;ml
Fridge;Mark's Magic Mushroom Sauce;Butter;15;g
Pantry;Mark's Magic Mushroom Sauce;Almonds (Flaked);100;g
Fresh Produce;Mark's Magic Mushroom Sauce;Mushrooms;125;g
Herbs & Spices;Mark's Magic Mushroom Sauce;Parsley;30;g
Fridge;Mark's Magic Mushroom Sauce;Cream (Double Thick);120;ml
Fresh Produce;Mark's Magic Mushroom Sauce;Lemons;1;#
Fresh Produce;Chili Garlic Broccolini;Tenderstem Brocolli;230;g
Pantry;Chili Garlic Broccolini;Olive Oil;45;ml
Fresh Produce;Chili Garlic Broccolini;Garlic;3;#
Fresh Produce;Chili Garlic Broccolini;Red Onion;0,5;#
Herbs & Spices;Chili Garlic Broccolini;Chilli Flakes;5;ml
Pantry;Chili Garlic Broccolini;Red Wine Vinegar;15;ml
Fresh Produce;Blueberry Peanut Butter Smoothie;Banana;2;#
Fridge;Blueberry Peanut Butter Smoothie;Peanut Butter;120;ml
Pantry;Blueberry Peanut Butter Smoothie;Blueberries;50;g
Pantry;Blueberry Peanut Butter Smoothie;Chia Seeds;15;ml
Drinks;Blueberry Peanut Butter Smoothie;Water;250;ml
Fridge;Blueberry Peanut Butter Smoothie;Milk;500;ml
Fresh Produce;Green Goddess Panini;Chickpeas;400;g
Herbs & Spices;Green Goddess Panini;Basil Pesto;0,25;#
Bread & Bakery;Green Goddess Panini;Sourdough Bread;0,5;#
Fresh Produce;Green Goddess Panini;Wild Rocket;20;g
Pantry;Green Goddess Panini;Artichokes;390;g
Fresh Produce;Green Goddess Panini;Avocado;2;#
Fresh Produce;Meatballs, Peas & Corn, Mash;Meatballs;150;g
Fresh Produce;Meatballs, Peas & Corn, Mash;Peas;100;g
Pantry;Meatballs, Peas & Corn, Mash;Corn;100;g
Pantry;Meatballs, Peas & Corn, Mash;Potato;2;
Fridge;Meatballs, Peas & Corn, Mash;Butter;10;g
Fridge;Meatballs, Peas & Corn, Mash;Milk;50;ml
Fresh Produce;Chipolatas, Peas & Corn, Mash;Chipolatas;150;g
Fresh Produce;Chipolatas, Peas & Corn, Mash;Peas;100;g
Pantry;Chipolatas, Peas & Corn, Mash;Corn;100;g
Pantry;Chipolatas, Peas & Corn, Mash;Potato;2;
Fridge;Chipolatas, Peas & Corn, Mash;Butter;10;g
Fridge;Chipolatas, Peas & Corn, Mash;Milk;50;ml
Fridge;Veggie Frittatas, Peas & Corn, Mash;Veggie Frittatas;2;
Fresh Produce;Veggie Frittatas, Peas & Corn, Mash;Peas;100;g
Pantry;Veggie Frittatas, Peas & Corn, Mash;Corn;100;g
Pantry;Veggie Frittatas, Peas & Corn, Mash;Potato;2;
Fridge;Veggie Frittatas, Peas & Corn, Mash;Butter;10;g
Fridge;Veggie Frittatas, Peas & Corn, Mash;Milk;50;ml
Fridge;Fish Cakes, Veg & Mash;Fish Cakes;2;
Fresh Produce;Fish Cakes, Veg & Mash;Peas;100;g
Pantry;Fish Cakes, Veg & Mash;Corn;100;g
Pantry;Fish Cakes, Veg & Mash;Potato;2;
Fridge;Fish Cakes, Veg & Mash;Butter;10;g
Fridge;Fish Cakes, Veg & Mash;Milk;50;ml
Bread & Bakery;Mini Pita Pockets;Mini Pita Breads;2;
Fridge;Mini Pita Pockets;Chicken Strips (Cooked);100;g
Fresh Produce;Mini Pita Pockets;Cucumber;0,5;#
Fresh Produce;Mini Pita Pockets;Carrot (Grated);1;ml
Fresh Produce;Mini Pita Pockets;Avocado;1;#
Fridge;Mini Pita Pockets;Cream Cheese;40;g
Fresh Produce;Chocolate Veggie Muffins;Grated Carrot;1;
Fresh Produce;Chocolate Veggie Muffins;Grated Zucchini;1;
Pantry;Chocolate Veggie Muffins;Cocoa Powder (¼ Cup);125;ml
Fridge;Chocolate Veggie Muffins;Egg;1;#
Pantry;Chocolate Veggie Muffins;Flour;250;ml
Pantry;Chocolate Veggie Muffins;Baking Powder;0,5;tsp
Fresh Produce;Chocolate Pops;Avocado;2;#
Pantry;Chocolate Pops;Cocoa Powder;125;ml
Fridge;Chocolate Pops;Yoghurt;;
Pantry;Chocolate Pops;Maple Syrup;62,5;ml
Pantry;Chocolate Pops;Vanilla Essence;5;ml
Fridge;Chocolate Pops;Almond Butter;167;ml
Bread & Bakery;Mike's Gio's Sandwich;Baguette;1;#
Fridge;Mike's Gio's Sandwich;Butter;15;g
Pantry;Mike's Gio's Sandwich;Mayonnaise;20;ml
Pantry;Mike's Gio's Sandwich;Mustard (Dijon);10;ml
Fresh Produce;Mike's Gio's Sandwich;Wild Rocket;20;g
Pantry;Mike's Gio's Sandwich;Olives;20;g
Fridge;Mike's Gio's Sandwich;Emmental Cheese;50;g
Pantry;Veggie Frittatas;Eggs;4;#
Fresh Produce;Veggie Frittatas;Mixed Vegetables (Peas;;
Pantry;Veggie Frittatas;Corn;;
Fresh Produce;Veggie Frittatas;Broccoli;1;#
Fresh Produce;Veggie Frittatas;Carrots);83;ml
Fridge;Veggie Frittatas;Cheese (Optional);;
Pantry;Veggie Frittatas;Olive Oil;45;ml
Pantry;Nut & Seed Granola;Macadamia Nuts;100;g
Pantry;Nut & Seed Granola;Coconut Flakes;20;g
Pantry;Nut & Seed Granola;Almonds (Raw);100;g
Pantry;Nut & Seed Granola;Pecan Nuts;50;g
Pantry;Nut & Seed Granola;Flaxseed;10;g
Pantry;Nut & Seed Granola;;20;
Pantry;Nut & Seed Granola;Sunflower Seeds;50;g
Pantry;Nut & Seed Granola;Honey;30;ml
Fridge;Pea, Mint and Goat’s Cheese Omelettes;Eggs;2;#
Fresh Produce;Pea, Mint and Goat’s Cheese Omelettes;Red Onion;0,5;#
Fridge;Pea, Mint and Goat’s Cheese Omelettes;Goat’S Cheese;100;g
Freezer;Pea, Mint and Goat’s Cheese Omelettes;Peas (Frozen);250;ml
Herbs & Spices;Pea, Mint and Goat’s Cheese Omelettes;Mint;10;g
Fridge;Pea, Mint and Goat’s Cheese Omelettes;Mozzarella;100;g
Pantry;Pea, Mint and Goat’s Cheese Omelettes;Olive Oil;45;ml
Fridge;Pea, Mint and Goat’s Cheese Omelettes;Butter;15;g
Fresh Produce;Caramelised Onion & Pumpkin Frittata;Pumpkin;800;g
Pantry;Caramelised Onion & Pumpkin Frittata;Olive Oil;45;ml
Fresh Produce;Caramelised Onion & Pumpkin Frittata;Red Onion;0,5;#
Pantry;Caramelised Onion & Pumpkin Frittata;Balsamic Vinegar;15;ml
Fridge;Caramelised Onion & Pumpkin Frittata;Eggs;2;#
Herbs & Spices;Caramelised Onion & Pumpkin Frittata;Rosemary (Fresh);5;g
Fresh Produce;Caramelised Onion & Pumpkin Frittata;Baby Spinach;200;g
Fridge;Caramelised Onion & Pumpkin Frittata;Goat’S Cheese;100;g
Pantry;Crispy Gnocchi with Parmesan Pea Purée;Gnocchi (Fresh);400;g
Fridge;Crispy Gnocchi with Parmesan Pea Purée;Parmesan;20;g
Freezer;Crispy Gnocchi with Parmesan Pea Purée;Peas (Frozen);250;ml
Fresh Produce;Crispy Gnocchi with Parmesan Pea Purée;Garlic;3;#
Fridge;Crispy Gnocchi with Parmesan Pea Purée;Butter;15;g
Fridge;Crispy Gnocchi with Parmesan Pea Purée;Milk;500;ml
Herbs & Spices;Crispy Gnocchi with Parmesan Pea Purée;Mint;10;g
Pantry;Crispy Gnocchi with Parmesan Pea Purée;Pine Nuts;25;g
Bread & Bakery;Red Pesto Couscous Salad;Couscous;270;g
Herbs & Spices;Red Pesto Couscous Salad;Red Pepper Pesto;125;g
Pantry;Red Pesto Couscous Salad;Roasting Vegetables;800;g
Pantry;Red Pesto Couscous Salad;Olive Oil;45;ml
Fridge;Red Pesto Couscous Salad;Halloumi;320;g
Pantry;Red Pesto Couscous Salad;Sunflower Seeds;50;g
Fresh Produce;Red Pesto Couscous Salad;Pumpkin Seeds;25;g
Fresh Produce;Red Pesto Couscous Salad;Wild Rocket;20;g
Pantry;Classic Italian Tiramisu;Cocoa Powder;125;ml
Drinks;Classic Italian Tiramisu;Espresso;250;ml
Pantry;Classic Italian Tiramisu;Vanilla Essence;5;ml
Fridge;Classic Italian Tiramisu;Egg Yolks;1;#
Pantry;Classic Italian Tiramisu;Sugar (White);10;ml
Herbs & Spices;Classic Italian Tiramisu;Salt;15;ml
Fridge;Classic Italian Tiramisu;Mascarpone Cheese;450;g
Fridge;Classic Italian Tiramisu;Cream (Double Thick);120;ml
Bread & Bakery;Classic Italian Tiramisu;Ladyfinger Biscuits (Hard);36;#
Pantry;Green Goddess Pasta;Olive Oil;45;ml
Fresh Produce;Green Goddess Pasta;Leeks;1;#
Fresh Produce;Green Goddess Pasta;Garlic;3;#
Fresh Produce;Green Goddess Pasta;Baby Spinach;200;g
Freezer;Green Goddess Pasta;Peas (Frozen);250;ml
Fridge;Green Goddess Pasta;Cottage Cheese;250;g
Pantry;Green Goddess Pasta;Vegetable Stock;250;ml
Bread & Bakery;Green Goddess Pasta;Rigatoni;400;g
Fresh Produce;Green Goddess Pasta;Snap Peas;200;g
Fresh Produce;Caprese Salad;Wild Rocket;20;g
Herbs & Spices;Caprese Salad;Basil;30;g
Fresh Produce;Caprese Salad;Cherry Tomatoes;250;g
Fridge;Caprese Salad;Bocconcini Mozarella;150;g
Fresh Produce;Caprese Salad;Avocado;2;#
Pantry;Caprese Salad;Olive Oil;45;ml
Herbs & Spices;Caprese Salad;Salt;15;ml
Herbs & Spices;Caprese Salad;Pepper;7,5;ml
Pantry;Caprese Salad;Balsamic Vinegar;15;ml
Fridge;Tashas Halloumi Salad;Halloumi;320;g
Fresh Produce;Tashas Halloumi Salad;Wild Rocket;20;g
Fresh Produce;Tashas Halloumi Salad;Baby Spinach;200;g
Herbs & Spices;Tashas Halloumi Salad;Mint;10;g
Fresh Produce;Tashas Halloumi Salad;Avocado;2;#
Fresh Produce;Tashas Halloumi Salad;Red Onion;0,5;#
Pantry;Tashas Halloumi Salad;Pistachio Nuts;50;g
Pantry;Tashas Halloumi Salad;Cranberries;50;g
Pantry;Tashas Halloumi Salad;Croutons;180;g
Pantry;Fat Bomb Balls;Sunflower Seeds;50;g
Fresh Produce;Fat Bomb Balls;Pumpkin Seeds;25;g
Pantry;Fat Bomb Balls;Dessicated Coconut;;
Pantry;Fat Bomb Balls;Hemp Seeds;30;g
Pantry;Fat Bomb Balls;Tahini;60;ml
Fridge;Fat Bomb Balls;Peanut Butter;120;ml
Pantry;Fat Bomb Balls;Coconut Oil;5;ml
Pantry;Fat Bomb Balls;Cinnamon;2,5;ml
Pantry;Fat Bomb Balls;Dates;6;#
Pantry;Greenland Quesadillas;Pistachio Nuts;50;g
Fresh Produce;Greenland Quesadillas;Avocado;2;#
Pantry;Greenland Quesadillas;Feta;100;g
Bread & Bakery;Greenland Quesadillas;Tortillas;4;#
